timestamp,contents,user follower count,polarity,subjectivity
2020-03-17T23:22:42Z,"b""@CherylThaxton @SarahGelormino @AF_TX_Antifa @realTT2020 @csteenport @KyleClark The only concern he's ever had is t... https://t.co/UdRMytZQIG""",1,0,1
2020-03-17T23:20:58Z,"b'RT @business: Softbank has told WeWork it may not buy $3 billion in shares from existing investors that is part of its planned bailout, Dow...'",2845,0,0
2020-03-17T23:20:21Z,"b'But this time, instead of a spike in the market, the Dow Jones continued to plummet as he spoke, dipping even furth... https://t.co/9kzReEPNZl'",6927,0,0
2020-03-17T23:20:03Z,b'RT @peruenlanoticia: El indice Dow Jones sufre su mayor caida en la historia - El Vocero de Puerto Rico https://t.co/7MunLQBP9z https://t.c...',2507,0,0
2020-03-17T23:20:02Z,b'RT @peruenlanoticia: El indice Dow Jones sufre su mayor caida en la historia - El Vocero de Puerto Rico https://t.co/7MunLQBP9z https://t.c...',6797,0,0
2020-03-17T23:19:32Z,b'El indice Dow Jones sufre su mayor caida en la historia - El Vocero de Puerto Rico https://t.co/7MunLQBP9z https://t.co/WtE9WAZQtz',55359,0,0
2020-03-17T23:19:32Z,"b'Dow Jones  covid-19 ,    '",136,0,0
2020-03-17T23:18:58Z,"b'RT @Schuldensuehner: Dow Jones rebounds more &gt;1,000 points as Trump seeks $1tn in stimulus for coronavirus fight. https://t.co/rIpBfs48js h...'",361,0.5,0.5
2020-03-17T23:18:51Z,"b'RT @raizaustralia: Aussie #shares to open higher. The #Dow Jones ended 1000+ points higher after yet another day of wild swings, with #inve...'",21,0.15,0.475
2020-03-17T23:17:09Z,"b'RT @hu_popa:       -       5-6%.  ,  ...'",100,0,0
2020-03-17T23:16:45Z,b'RT @CNBCArabia: #_  Dow Jones   1%     5%   https://t.co/3XhYhAQ4wL',637,0,0
2020-03-17T23:16:20Z,b'RT @ThisWeekABC: NEW: Dow Jones reboundsthough not nearly enough to make up for the massive coronavirus-induced losses suffered Monday. ht...',86,0.045454545,0.651515152
2020-03-17T23:15:33Z,b'Pelosi #TrumpsGuilty #Coronavirus #COVID_19 #CoronaOutbreak #PressConference #TrumpVirus #TrumpLiesAboutCoronavirus... https://t.co/JbxbwckENm',2096,0,0
2020-03-17T23:14:56Z,b'U.S. stocks stabilized after the Trump administration said it planned financial support for an airline industry dev... https://t.co/vgElgQ6UUR',0,0,0
2020-03-17T23:14:21Z,b'RT @ConElMazoDando: Se desplomo! Dow Jones principal indice bursatil de EE UU registra su peor caida https://t.co/UMhA4Umqch  #EnLasCalles...',34,0,0
2020-03-17T23:13:55Z,"b'RT @TravisAllen02: Largest Dow Jones Drops in American History:\n\n1) Trump: 2,997 3/16/20\n2) Trump: 2,013 3/9/20\n3) Trump: 1,464 3/11/20...'",698,0,0
2020-03-17T23:13:06Z,b'Dow Jones Industrial Death Cross Imminent https://t.co/2aojyxTbSW Crypto Cashflow  via https://t.co/XWFpQbU4uP https://t.co/mOQtXVfbJe',7387,0,0
2020-03-17T23:12:41Z,b'Dow Jones +5.20 % on Yesterday.',271,0,0
2020-03-17T23:12:27Z,b'RT @AFPespanol: En Wall Street el Dow Jones gana mas de 5% tras nuevos anuncios de apoyo a la economia #AFP',61,0,0
2020-03-17T23:12:20Z,"b'RT @institutoahorro: Las Bolsas, hoy 17 de marzo de 2020:\nDOW JONES      +5,20%\nNASDAQ          +6,23%\nIGPA (CHILE)     +0,65%\nIBEVESPA (BR...'",1776,0,0
2020-03-17T23:12:06Z,"b'El promedio industrial Dow Jones reboto el martes y se ubica en 21,237.38 puntos, con un alza de 5.20%, apoyado en... https://t.co/jz3MEtbgud'",5029,0,0
2020-03-17T23:12:03Z,b'RT @RTultimahora: ULTIMA HORA\n\n!! El indice Dow Jones cae por debajo de los 20.000 puntos https://t.co/yoT7BKTnSd https://t.co/5WJjWzHA2I',282,0,0
2020-03-17T23:11:14Z,"b'RT @business: Softbank has told WeWork it may not buy $3 billion in shares from existing investors that is part of its planned bailout, Dow...'",103,0,0
2020-03-17T23:09:33Z,"b'Indices de Mexico cierran a la baja; el S&amp;P/BMV IPC cae un 3,21%\nIndices de Estados Unidos cierran al alza; el Dow... https://t.co/wJRO2o1Lao'",5721,0,0
2020-03-17T23:09:26Z,"b""FED's 1 trillion usd stimulation plan got me scared a bit but seems like no one gives a shit about it.\n\nDow Jones f... https://t.co/MiP1TJLjHx""",77,-0.2,0.8
2020-03-17T23:08:58Z,b'@R136a1xTon618 Dow Jones 29 000',214,0,0
2020-03-17T23:08:32Z,"b'US stocks rebound, Dow Jones jumps more than 1,000 points: US stocks closed higher on Tuesday, to regain some groun... https://t.co/dKuR8qQXlM'",1804,0.216666667,0.366666667
2020-03-17T23:08:27Z,"b'Las Bolsas, hoy 17 de marzo de 2020:\nDOW JONES      +5,20%\nNASDAQ          +6,23%\nIGPA (CHILE)     +0,65%\nIBEVESPA... https://t.co/2sJsAZExZ8'",3245,0,0
2020-03-17T23:08:06Z,b'@NorthmanTrader All the Trump job gains are going to disappear along with his Dow Jones gains. He will leave us wit... https://t.co/eyBwKpU98R',0,0,0
2020-03-17T23:07:48Z,"b'RT @waltsimsjr: Market Summary &gt; Dow Jones Industrial Average\nINDEXDJX: .DJI\n20,188.52 2,997.10 (12.93%)\nMar 16, 5:26 PM EDT  Disclaimer...'",5909,-0.15,0.4
2020-03-17T23:07:37Z,"b'The Nasdaq led with a 6.2% gain, the S&amp;P 500 rallied 6% and the Dow Jones industrials rose 5.2%, or almost 1,049 po... https://t.co/QRvAmWTH35'",1065,0.6,0.95
2020-03-17T23:07:24Z,"b'RT @Jmfariasu: El Dow Jones cayo 12,94% el dia de ayer. Si nos remontamos a 1929, durante la gran depresion, la peor caida fue de 12,82%. L...'",1029,0,0
2020-03-17T23:06:41Z,"b'Dow Jones futures tumbled late Tuesday, along with S&amp;P 500 futures and Nasdaq futures after the stock market staged... https://t.co/PEfY5QKlOm'",1065,-0.3,0.6
2020-03-17T23:06:36Z,"b""3/17 update: Stocks rallied back some of the losses from yesterday and Obama's lead over Trump decreased slightly.... https://t.co/ks75DtpHHF""",161,-0.2,0.35
2020-03-17T23:06:23Z,"b""@DrDenaGrayson @realDonaldTrump He didn't know what a pandemic was until the Dow Jones starting plunging.""",191,0,0.1
2020-03-17T23:05:54Z,"b'RT @TravisAllen02: Largest Dow Jones Drops in American History:\n\n1) Trump: 2,997 3/16/20\n2) Trump: 2,013 3/9/20\n3) Trump: 1,464 3/11/20...'",1787,0,0
2020-03-17T23:05:44Z,"b'RT @TravisAllen02: Largest Dow Jones Drops in American History:\n\n1) Trump: 2,997 3/16/20\n2) Trump: 2,013 3/9/20\n3) Trump: 1,464 3/11/20...'",12,0,0
2020-03-17T23:05:33Z,"b'Dow Jones Jumps 1,000 Points Intraday On Coronavirus Stimulus Plan; 2 Biotech Stocks On The Move https://t.co/I4zzZVe2Jv'",356,0,0
2020-03-17T23:05:25Z,b'@MarcoAn41278292 @rubengluengas @laoctavadigital @julioastillero @monocordio @Arturo_Rdgz @HLGatell El mercado esta... https://t.co/hjVy1muILQ',114,0,0
2020-03-17T23:05:22Z,"b'The Dow Skyrocketed Because Trump Wants to Give You Free Cash\n\nThe Dow Jones rallies 1,000 points as Wall Street bu... https://t.co/SrMyzwfdku'",208,0.3,0.45
2020-03-17T23:04:49Z,b'Do you know everything while trading in $DJIA $CAT $XOM $GS https://t.co/8zP8MKc2dK https://t.co/zAwd5hFEtA',1325,0,0
